STUDENT_ID	ESSAY_ID	PLACEMENT_SCORE	PLACEMENT_LEVEL	UNIVERSITY: 	SEX: 	DEPARTMENT: 	AGE: 	DEGREE: 	YEAR_ADDED	YEAR_OF_COURSE: 	NATIVE_LANGUAGE: 	FATHERS_NATIVE_LANGUAGE: 	MOTHERS_NATIVE_LANGUAGE: 	LANGUAGE_SPOKEN_AT_HOME: 	AGE_STARTED_English:	YEARS_STUDYING_English: 	STAY_English_WHEN: 	STAY_English_HOWLONG_WEEKS: 	ABILITY_SPEAKING_English: 	ABILITY_UNDERSTANDING_English: 	ABILITY_READING_English: 	ABILITY_WRITING_English	OTHER_LANGUAGE	OTHER_LANGUAGE1_NAME	ABILITY_SPEAKING_LANGUAGE1: 	ABILITY_UNDERSTANDING_LANGUAGE1: 	ABILITY_READING_LANGUAGE1: 	ABILITY_WRITING_LANGUAGE1: 	OTHER_LANGUAGE2_NAME	ABILITY_SPEAKING_LANGUAGE2: 	ABILITY_UNDERSTANDING_LANGUAGE2: 	ABILITY_READING_LANGUAGE2: 	ABILITY_WRITING_LANGUAGE2: 			TITLE_COMPOSITION: 	RESEARCH_FOR_ESSAY: 	HOURS_RESEARCH: 	SOURCE_ENGLISH_INTERNET: 	SOURCE_ENGLISH_NEWS/MAGS: 	SOURCE_ENGLISH_BOOKS/ARTICLES: 	SOURCE_ENGLISH_TV/RADIO: 	SOURCE_SPANISH_INTERNET: 	SOURCE_SPANISH_NEWS/MAGS: 	SOURCE_SPANISH_BOOKS/ARTICLES: 	SOURCE_SPANISH_TV/RADIO: 	HOW_LONG_WRITE: 	WHERE_WRITE_ESSAY: 	LANGUAGE_TOOLS: 	BILINGUAL_DICT_BOOK	BILINGUAL_DICT_SOFT	BILINGUAL_DICT_INTERNET	ENGLISH_MO0_DICT_BOOK	ENGLISH_MO0_DICT_SOFT	ENGLISH_MO0_DICT_INTERNET	GRAMMAR_BOOK	GRAMMAR_SOFT	GRAMMAR_INTERNET	THES_BOOK	THES_SOFT	THES_INERNET	SPELLCHECKER: 	NATIVE_HELP: 	OTHER_RESOURCES: 	ESSAY_FILENAME: 
A1	A1-1	33	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	9	9	2003	4	2	3	3	3	1	French	2	2	2	2	German	1	1	1	1			Gay marriage	0	0	0	0	0	0	0	0	0	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A1-1.txt
A1	A1-2	33	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	9	9	2003	4	2	3	3	3	1	French	2	2	2	2	German	1	1	1	1			Immigration	1	0.5	0	0	0	0	1	0	0	0	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A1-2.txt
A2	A2-1	37	B1	UAM	female	Filología Inglesa	21	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	7	14		1	2	3	3	2	0						0							Gay marriage	1	1	0	0	0	0	0	0	0	0		2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	1		A2-1.txt
A2	A2-2	37	B1	UAM	female	Filología Inglesa	21	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	7	14		1	2	3	3	2	0						0							Legalization of marijuana	1	1	0	0	0	0	1	0	1	0		2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	1	Help from non-native speaker	A2-2.txt
A4	A4-1	32	B1	UAM	male	Filología Inglesa	23	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	7	12			2	1	4	4	0						0							Do should gay people be allowed (...)?	0	0	0	0	0	0	0	0	0	0	6	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A4-1.txt
A4	A4-2	32	B1	UAM	male	Filología Inglesa	23	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	7	12			2	1	4	4	0						0							Immigration	0	0	0	0	0	0	0	0	0	0	6	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A4-2.txt
A6	A6-1	38	B1	UAM	male	Filología Inglesa	20	Filología Inglesa	2005	year1	Spanish and gallego	Spanish and gallego	Spanish	Spanish	4	16			4	3	5	4	1	Gallego	6	6	6	6	German	2	2	3	2			Marriage between gay people should be legalized?	1	5	1	1	0	0	1	0	0	0	5	2	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0		A6-1.txt
A6	A6-2	38	B1	UAM	male	Filología Inglesa	20	Filología Inglesa	2005	year1	Spanish and gallego	Spanish and gallego	Spanish	Spanish	4	16			4	3	5	4	1	Gallego	6	6	6	6	German	2	2	3	2			"Legalization of Marijuana, Discuss"	1	4	1	0	0	0	1	0	0	0	4	2	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0		A6-2.txt
A7	A7-1	33	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	5	13			4	4	4	4	1	French	3	4	4	3	0	 	 	 	 			Do you think that gay poeople should get married and adopt?	0	0	0	0	0	0	0	0	0	0	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A7-1.txt
A7	A7-2	33	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	5	13			4	4	4	4	1	French	3	4	4	3	0	 	 	 	 			Legalization of marijuana	1	0.5	0	0	0	0	1	0	0	0	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A7-2.txt
